Current Works for Round 1:
1 Points: 129.583333333333 Nominations: 193
2 Points: 94.4166666666667 Nominations: 138
3 Points: 89 Nominations: 135
4 Points: 86.4166666666667 Nominations: 133
5 Points: 81.5 Nominations: 118
6 Points: 64.6666666666667 Nominations: 101
7 Points: 63 Nominations: 91
8 Points: 60.9166666666667 Nominations: 90
9 Points: 45.5 Nominations: 74
28 Points: 50.8333333333334 Nominations: 150
29 Points: 49.8333333333334 Nominations: 149
30 Points: 49.3333333333334 Nominations: 148
33 Points: 75 Nominations: 75

Results of Round: 25
Work(s) Eliminated: 
9 Points: 45.5 Nominations: 74

Current Works for Round 26:
1 Points: 134.75 Nominations: 193
2 Points: 97.4166666666667 Nominations: 138
3 Points: 93.0833333333333 Nominations: 135
4 Points: 87.5833333333333 Nominations: 133
5 Points: 83.1666666666667 Nominations: 118
6 Points: 67.4166666666667 Nominations: 101
7 Points: 64.6666666666667 Nominations: 91
8 Points: 62.9166666666667 Nominations: 90
28 Points: 50.8333333333334 Nominations: 150
29 Points: 49.8333333333334 Nominations: 149
30 Points: 49.3333333333334 Nominations: 148
33 Points: 75 Nominations: 75

Results of Round: 26
Work(s) Eliminated: 
30 Points: 49.3333333333334 Nominations: 148

Current Works for Round 27:
1 Points: 134.75 Nominations: 193
2 Points: 97.4166666666667 Nominations: 138
3 Points: 93.0833333333333 Nominations: 135
4 Points: 87.5833333333333 Nominations: 133
5 Points: 83.1666666666667 Nominations: 118
6 Points: 67.4166666666667 Nominations: 101
7 Points: 64.6666666666667 Nominations: 91
8 Points: 62.9166666666667 Nominations: 90
28 Points: 75.5 Nominations: 150
29 Points: 74.5 Nominations: 149
33 Points: 75 Nominations: 75

Results of Round: 27
Work(s) Eliminated: 
8 Points: 62.9166666666667 Nominations: 90

Current Works for Round 28:
1 Points: 139.333333333333 Nominations: 193
2 Points: 99.9166666666667 Nominations: 138
3 Points: 96.3333333333333 Nominations: 135
4 Points: 92 Nominations: 133
5 Points: 86 Nominations: 118
6 Points: 68.4166666666667 Nominations: 101
7 Points: 68 Nominations: 91
28 Points: 75.5 Nominations: 150
29 Points: 74.5 Nominations: 149
33 Points: 75 Nominations: 75

Results of Round: 28
Work(s) Eliminated: 
7 Points: 68 Nominations: 91

Current Works for Round 29:
1 Points: 145.75 Nominations: 193
2 Points: 100.833333333333 Nominations: 138
3 Points: 98.25 Nominations: 135
4 Points: 95.4166666666667 Nominations: 133
5 Points: 90.0833333333333 Nominations: 118
6 Points: 69.6666666666667 Nominations: 101
28 Points: 75.5 Nominations: 150
29 Points: 74.5 Nominations: 149
33 Points: 75 Nominations: 75

Results of Round: 29
Work(s) Eliminated: 
6 Points: 69.6666666666667 Nominations: 101

Current Works for Round 30:
1 Points: 152.083333333333 Nominations: 193
2 Points: 106.75 Nominations: 138
3 Points: 102.666666666667 Nominations: 135
4 Points: 100.583333333333 Nominations: 133
5 Points: 94.9166666666667 Nominations: 118
28 Points: 75.5 Nominations: 150
29 Points: 74.5 Nominations: 149
33 Points: 75 Nominations: 75

Results of Round: 30
Work(s) Eliminated: 
33 Points: 75 Nominations: 75

Current Works for Round 31:
1 Points: 152.083333333333 Nominations: 193
2 Points: 106.75 Nominations: 138
3 Points: 102.666666666667 Nominations: 135
4 Points: 100.583333333333 Nominations: 133
5 Points: 94.9166666666667 Nominations: 118
28 Points: 75.5 Nominations: 150
29 Points: 74.5 Nominations: 149

Results of Round: 31
Work(s) Eliminated: 
29 Points: 74.5 Nominations: 149

Current Works for Round 32:
1 Points: 152.083333333333 Nominations: 193
2 Points: 106.75 Nominations: 138
3 Points: 102.666666666667 Nominations: 135
4 Points: 100.583333333333 Nominations: 133
5 Points: 94.9166666666667 Nominations: 118
28 Points: 150 Nominations: 150

Results of Round: 32
Work(s) Eliminated: 
5 Points: 94.9166666666667 Nominations: 118

Current Works for Round 33:
1 Points: 157.5 Nominations: 193
2 Points: 111.166666666667 Nominations: 138
3 Points: 105.666666666667 Nominations: 135
4 Points: 107.666666666667 Nominations: 133
28 Points: 150 Nominations: 150

Final Hugo Ballot:
1 Points: 157.5 Nominations: 193
2 Points: 111.166666666667 Nominations: 138
3 Points: 105.666666666667 Nominations: 135
4 Points: 107.666666666667 Nominations: 133
28 Points: 150 Nominations: 150

